metric,architecture,mean,std,n_numeric,n_na,n_bool
val/routing_f1_matched/E4_LOGIC,more,0.4283756714,0.1771226635,5,0,0
val/routing_f1_matched/E5_SHIFT,moe,0.375247681,0.02595597539,5,0,0
val/routing_f1_matched/E5_SHIFT,mor,N/A,N/A,0,5,0
val/routing_f1_matched/E5_SHIFT,more,0.2884600579,0.1656685546,5,0,0
val/routing_f1_matched/E6_SORT_STAT,moe,0.5805274449,0.107737508,5,0,0
val/routing_f1_matched/E6_SORT_STAT,mor,N/A,N/A,0,5,0
val/routing_f1_matched/E6_SORT_STAT,more,0.5512204838,0.1260927956,5,0,0
val/routing_hungarian_accuracy,moe,0.5003981253,0.05604180086,5,0,0
val/routing_hungarian_accuracy,mor,N/A,N/A,0,5,0
val/routing_hungarian_accuracy,more,0.5258277478,0.06115202,5,0,0
val/routing_hungarian_assignment,moe,N/A,N/A,0,5,0
val/routing_hungarian_assignment,mor,N/A,N/A,0,5,0
val/routing_hungarian_assignment,more,N/A,N/A,0,5,0
val/routing_macro_recall,moe,0.2157020026,0.1414215246,5,0,0
val/routing_macro_recall,mor,N/A,N/A,0,5,0
val/routing_macro_recall,more,0.1883335658,0.1944759733,5,0,0
val/routing_matched_macro_recall,moe,0.5133238939,0.0550877704,5,0,0
val/routing_matched_macro_recall,mor,N/A,N/A,0,5,0
val/routing_matched_macro_recall,more,0.5491492055,0.09844341872,5,0,0
val/routing_precision/E1_ADD_SUB,moe,0.3338708398,0.218839111,5,0,0
val/routing_precision/E1_ADD_SUB,mor,N/A,N/A,0,5,0
val/routing_precision/E1_ADD_SUB,more,0.2950205568,0.3738746884,5,0,0
val/routing_precision/E2_MULT_DIV,moe,0.1864546944,0.2678499384,5,0,0
val/routing_precision/E2_MULT_DIV,mor,N/A,N/A,0,5,0
val/routing_precision/E2_MULT_DIV,more,0.2299206547,0.3300106454,5,0,0
val/routing_precision/E3_MOD_POW,moe,0.1695754358,0.3171899864,5,0,0
val/routing_precision/E3_MOD_POW,mor,N/A,N/A,0,5,0
val/routing_precision/E3_MOD_POW,more,0.2467517196,0.4264867138,5,0,0
val/routing_precision/E4_LOGIC,moe,0.1946439028,0.1818448241,5,0,0
val/routing_precision/E4_LOGIC,mor,N/A,N/A,0,5,0
val/routing_precision/E4_LOGIC,more,0.2460126338,0.2588038662,5,0,0
val/routing_precision/E5_SHIFT,moe,0.001929737754,0.004315024796,5,0,0
val/routing_precision/E5_SHIFT,mor,N/A,N/A,0,5,0
val/routing_precision/E5_SHIFT,more,0.004828973843,0.01079791377,5,0,0
val/routing_precision/E6_SORT_STAT,moe,0.4058893041,0.4247931007,5,0,0
val/routing_precision/E6_SORT_STAT,mor,N/A,N/A,0,5,0
val/routing_precision/E6_SORT_STAT,more,0.1579584549,0.3370160892,5,0,0
val/routing_precision_matched/E1_ADD_SUB,moe,0.347954208,0.2229544289,5,0,0
val/routing_precision_matched/E1_ADD_SUB,mor,N/A,N/A,0,5,0
val/routing_precision_matched/E1_ADD_SUB,more,0.5123974917,0.2476700459,5,0,0
val/routing_precision_matched/E2_MULT_DIV,moe,0.5147113086,0.146526726,5,0,0
val/routing_precision_matched/E2_MULT_DIV,mor,N/A,N/A,0,5,0
val/routing_precision_matched/E2_MULT_DIV,more,0.6452659182,0.2580561991,5,0,0
val/routing_precision_matched/E3_MOD_POW,moe,0.5766164707,0.1095956495,5,0,0
val/routing_precision_matched/E3_MOD_POW,mor,N/A,N/A,0,5,0
val/routing_precision_matched/E3_MOD_POW,more,0.6399863122,0.2259686474,5,0,0
val/routing_precision_matched/E4_LOGIC,moe,0.4207835835,0.181999179,5,0,0
