metric,architecture,mean,std,n_numeric,n_na,n_bool
train/aux_routing_loss,mor,N/A,N/A,0,5,0
train/aux_routing_loss,more,-0.7654712715,0.005602592098,5,0,0
train/avg_recursion_steps,moe,N/A,N/A,0,5,0
train/avg_recursion_steps,mor,6.593522263,0.4669255608,5,0,0
train/avg_recursion_steps,more,6.941552925,0.01095530226,5,0,0
train/balance_to_task_ratio,moe,4.831216088e-05,4.464341837e-05,5,0,0
train/balance_to_task_ratio,mor,N/A,N/A,0,5,0
train/balance_to_task_ratio,more,0.0002115632182,2.297780588e-06,5,0,0
train/classification_loss,moe,0,0,5,0,0
train/classification_loss,mor,0,0,5,0,0
train/classification_loss,more,0,0,5,0,0
train/entropy_term,moe,1.616802,0.0612719628,5,0,0
train/entropy_term,mor,N/A,N/A,0,5,0
train/entropy_term,more,1.790159714,0.0005422521033,5,0,0
train/entropy_term_normalized,moe,0.9023543773,0.03419653355,5,0,0
train/entropy_term_normalized,mor,N/A,N/A,0,5,0
train/entropy_term_normalized,more,0.9991071598,0.0003026366611,5,0,0
train/expert_load_entropy_normalized,moe,0.6515448809,0.0852082147,5,0,0
train/expert_load_entropy_normalized,mor,N/A,N/A,0,5,0
train/expert_load_entropy_normalized,more,0.96806916,0.01022769919,5,0,0
train/family_cls_loss,moe,0,0,5,0,0
train/family_cls_loss,mor,0,0,5,0,0
train/family_cls_loss,more,0,0,5,0,0
train/halting_loss,moe,N/A,N/A,0,5,0
train/halting_loss,mor,0.8335003007,0.08291222343,5,0,0
train/halting_loss,more,0.9436619198,0.002420076297,5,0,0
train/halting_supervision_loss,moe,N/A,N/A,0,5,0
train/halting_supervision_loss,mor,N/A,N/A,0,5,0
train/halting_supervision_loss,more,N/A,N/A,0,5,0
train/ponder_cost,moe,N/A,N/A,0,5,0
train/ponder_cost,mor,0.8335003007,0.08291222343,5,0,0
train/ponder_cost,more,0.9436619198,0.002420076297,5,0,0
train/routing_balance_loss,moe,0.1235342791,0.25561713,5,0,0
train/routing_balance_loss,mor,N/A,N/A,0,5,0
train/routing_balance_loss,more,-0.7654712715,0.005602592098,5,0,0
train/step_routing_loss,moe,0.5975553049,0.02091412829,5,0,0
train/step_routing_loss,mor,0.5650565894,0.01049180925,5,0,0
train/step_routing_loss,more,0.5973844996,0.0151075935,5,0,0
train/switch_aux_term,moe,1.740336279,0.197691886,5,0,0
train/switch_aux_term,mor,N/A,N/A,0,5,0
train/switch_aux_term,more,1.024688477,0.005183493932,5,0,0
train/task_loss,moe,4.105030864,0.03834713843,5,0,0
train/task_loss,mor,3.680565763,0.04986225085,5,0,0
train/task_loss,more,3.618284405,0.01457203281,5,0,0
train/total_loss,moe,4.105154399,0.03857716856,5,0,0
train/total_loss,mor,3.681399263,0.04978602938,5,0,0
train/total_loss,more,3.618462596,0.01457551164,5,0,0
val/avg_recursion_steps,moe,N/A,N/A,0,5,0
val/avg_recursion_steps,mor,6.777458427,0.4915838672,5,0,0
val/avg_recursion_steps,more,7.566080874,0.01900633183,5,0,0
val/bits_per_token,moe,5.702877331,0.05716491153,5,0,0
val/bits_per_token,mor,5.07860746,0.05850867556,5,0,0
val/bits_per_token,more,5.053853257,0.01922601583,5,0,0
val/depth_allocation_error_abs,moe,N/A,N/A,0,5,0
val/depth_allocation_error_abs,mor,N/A,N/A,0,5,0
val/depth_allocation_error_abs,more,N/A,N/A,0,5,0
val/depth_allocation_error_rel,moe,N/A,N/A,0,5,0
val/depth_allocation_error_rel,mor,N/A,N/A,0,5,0
val/depth_allocation_error_rel,more,N/A,N/A,0,5,0
val/early_exit_rate,moe,N/A,N/A,0,5,0
val/early_exit_rate,mor,0.2069408868,0.2031271915,5,0,0
val/early_exit_rate,more,0.01601349044,0.002881561451,5,0,0
val/forced_exit_rate,moe,N/A,N/A,0,5,0
val/forced_exit_rate,mor,0.7930591132,0.2031271915,5,0,0
val/forced_exit_rate,more,0.9839865096,0.002881561451,5,0,0
val/loss,moe,3.952933343,0.03962369725,5,0,0
val/loss,mor,3.520222442,0.0405551235,5,0,0
val/loss,more,3.503064136,0.01332645867,5,0,0
val/mean_remainder,moe,N/A,N/A,0,5,0
val/mean_remainder,mor,0.1788442101,0.05544913423,5,0,0
val/mean_remainder,more,0.622405499,0.01312434479,5,0,0
val/nats_below_bigram_floor,moe,1.032013672,0.03962369725,5,0,0
val/nats_below_bigram_floor,mor,1.464724574,0.0405551235,5,0,0
val/nats_below_bigram_floor,more,1.48188288,0.01332645867,5,0,0
val/perplexity,moe,52.12081954,2.080476458,5,0,0
val/perplexity,mor,33.81425374,1.377818344,5,0,0
val/perplexity,more,33.21943786,0.4427764647,5,0,0
val/routing_agreement_with_pos,moe,0.1616699578,0.07343397709,5,0,0
val/routing_agreement_with_pos,mor,N/A,N/A,0,5,0
val/routing_agreement_with_pos,more,0.1524459851,0.04981891664,5,0,0
val/routing_ami,moe,0.1615174776,0.02307662705,5,0,0
val/routing_ami,mor,N/A,N/A,0,5,0
val/routing_ami,more,0.1410085573,0.01597898535,5,0,0
val/routing_collapsed_experts,moe,N/A,N/A,0,5,0
val/routing_collapsed_experts,mor,N/A,N/A,0,5,0
val/routing_collapsed_experts,more,N/A,N/A,0,5,0
val/routing_control_pos/ami_control_mean,moe,0.02279229177,0.01452166452,5,0,0
val/routing_control_pos/ami_control_mean,mor,N/A,N/A,0,5,0
